Age wear,break chance,Status,Hour,RTime
0.2308,0.8907951206983463,broken,0,4
0.2308,0.8907951206983463,broken,2,3
0.2308,0.8907951206983463,broken,3,2
0.2308,0.8907951206983463,broken,4,1
0.06016886153846155,0.32119851939680255,working,5,0
0.06146886153846155,0.4844240803262536,working,6,0
0.06326886153846155,0.8114593578076404,working,7,0
0.06556886153846155,0.713238543686127,working,16,0
0.06836886153846154,0.1486854201862705,working,17,0
0.07166886153846154,0.6155859986335516,working,18,0
0.07546886153846154,0.4565022892228424,working,19,0
0.07976886153846154,0.0746058252071442,working,20,0
0.08456886153846153,0.033558604479123844,working,21,0
0.08986886153846153,0.5571392442559401,working,22,0
0.09566886153846153,0.11115934603320432,working,23,0
0.10196886153846153,0.7731096061085074,working,32,0
0.10876886153846153,0.5880630779535867,working,33,0
0.11606886153846153,0.16979836334802245,working,34,0
0.12386886153846152,0.8803087970494495,broken,35,4
0.12386886153846152,0.8803087970494495,broken,37,3
0.12386886153846152,0.8803087970494495,broken,38,2
0.12386886153846152,0.8803087970494495,broken,39,1
0.03465431269585799,0.5990702734362445,working,48,0
0.03595431269585799,0.6496636329482606,working,49,0
0.037754312695857994,0.7099145441800137,working,50,0
0.040054312695858,0.1459114537828209,working,51,0
0.042854312695858,0.8154152714159915,working,52,0
0.046154312695858006,0.7114888165588937,working,53,0
0.04995431269585801,0.7341819770541591,working,54,0
0.05425431269585801,0.823207402911764,working,55,0
0.05905431269585801,0.5383882784217051,working,64,0
0.06435431269585801,0.36340903964260596,working,65,0
0.070154312695858,0.7006443865577335,working,66,0
0.076454312695858,0.964749114032367,broken,67,4
0.076454312695858,0.964749114032367,broken,69,3
0.076454312695858,0.964749114032367,broken,70,2
0.076454312695858,0.964749114032367,broken,71,1
0.022730625541758042,0.8732476826424105,working,80,0
0.024030625541758045,0.9922192187638756,broken,81,4
0.024030625541758045,0.9922192187638756,broken,83,3
0.024030625541758045,0.9922192187638756,broken,84,2
0.024030625541758045,0.9922192187638756,broken,85,1
0.00781509414853629,0.9302590360590988,working,86,0
0.009115094148536292,0.5807906512770714,working,87,0
0.010915094148536291,0.5075185722110821,working,96,0
0.013215094148536291,0.10456995798879509,working,97,0
0.01601509414853629,0.963945275054015,working,98,0
0.019315094148536292,0.8206500224984509,working,99,0
0.023115094148536294,0.26914766969829385,working,100,0
0.027415094148536295,0.3971487397897461,working,101,0
0.032215094148536294,0.3632855827946925,working,102,0
0.03751509414853629,0.8682262433822161,working,103,0
0.04331509414853629,0.6174641601968454,working,112,0
0.04961509414853629,0.9707968606174717,broken,113,4
0.04961509414853629,0.9707968606174717,broken,115,3
0.04961509414853629,0.9707968606174717,broken,116,2
0.04961509414853629,0.9707968606174717,broken,117,1
0.01595550298952597,0.041352342952687526,working,118,0
0.017255502989525974,0.3464796780999385,working,119,0
0.019055502989525977,0.5165777294667055,working,128,0
0.02135550298952598,0.35481200547135827,working,129,0
0.02415550298952598,0.12609377643770048,working,130,0
0.02745550298952598,0.2719345369499572,working,131,0
0.031255502989525986,0.12914543073801787,working,132,0
0.03555550298952599,0.24955033443901575,working,133,0
0.04035550298952599,0.7399065342190062,working,134,0
0.04565550298952599,0.08088344861925756,working,135,0
0.05145550298952599,0.9888444126526816,broken,144,4
0.05145550298952599,0.9888444126526816,broken,146,3
0.05145550298952599,0.9888444126526816,broken,147,2
0.05145550298952599,0.9888444126526816,broken,148,1
0.017170766181898427,0.3478352523788749,working,149,0
0.01847076618189843,0.6408623868673352,working,150,0
0.020270766181898433,0.47236674426929537,working,151,0
0.022570766181898433,0.10658083770171389,working,160,0
0.025370766181898433,0.41416449075631634,working,161,0
0.028670766181898434,0.1399555433391354,working,162,0
0.03247076618189844,0.8943500714538197,working,163,0
0.03677076618189844,0.20267671585369929,working,164,0
0.041570766181898436,0.5856308201709617,working,165,0
0.046870766181898435,0.828833444795457,working,166,0
0.052670766181898435,0.7063207827901614,working,167,0
0.058970766181898435,0.11075515108247702,working,176,0
0.06577076618189844,0.06613553726733679,working,177,0
0.07307076618189844,0.9322749483220839,broken,178,4
0.07307076618189844,0.9322749483220839,broken,180,3
0.07307076618189844,0.9322749483220839,broken,181,2
0.07307076618189844,0.9322749483220839,broken,182,1
0.025160669279411376,0.23866221020166956,working,183,0
0.02646066927941138,0.15853516539851698,working,192,0
0.02826066927941138,0.14902397898805064,working,193,0
0.03056066927941138,0.5329061721765967,working,194,0
0.033360669279411385,0.8264782644892246,working,195,0
0.03666066927941139,0.39292030257769794,working,196,0
0.040460669279411395,0.47097980666188155,working,197,0
0.0447606692794114,0.13490045709261334,working,198,0
0.0495606692794114,0.21819386348494052,working,199,0
0.0548606692794114,0.9168156516439335,working,208,0
0.0606606692794114,0.9444751887419776,broken,209,4
0.0606606692794114,0.9444751887419776,broken,211,3
0.0606606692794114,0.9444751887419776,broken,212,2
0.0606606692794114,0.9444751887419776,broken,213,1
0.021793257776005534,0.33538572805094224,working,214,0
0.023093257776005537,0.15696276089733174,working,215,0
0.02489325777600554,0.2255044202344887,working,224,0
0.027193257776005543,0.491804564003672,working,225,0
0.029993257776005543,0.3653605527081588,working,226,0
0.033293257776005544,0.21104641879407315,working,227,0
0.03709325777600555,0.5094884909858876,working,228,0
0.041393257776005554,0.570493635409853,working,229,0
0.04619325777600555,0.6259807906126806,working,230,0
0.05149325777600555,0.7909292008868452,working,231,0
0.05729325777600555,0.08154833657361904,working,240,0
0.06359325777600555,0.747707739057744,working,241,0
0.07039325777600555,0.36468592244613174,working,242,0
0.07769325777600555,0.8927798129482143,working,243,0
0.08549325777600555,0.06381369369257495,working,244,0
0.09379325777600556,0.2731732844212795,working,245,0
0.10259325777600556,0.7441036890851408,working,246,0
0.11189325777600556,0.28923525568456177,working,247,0
0.12169325777600555,0.6514433719073602,working,256,0
0.13199325777600554,0.20809113382382993,working,257,0
0.14279325777600554,0.06297923587326781,working,258,0
0.15409325777600555,0.9426131527690399,broken,259,4
0.15409325777600555,0.9426131527690399,broken,261,3
0.15409325777600555,0.9426131527690399,broken,262,2
0.15409325777600555,0.9426131527690399,broken,263,1
0.05751817218909128,0.3930807760532703,working,272,0
0.05881817218909128,0.247935636240746,working,273,0
0.06061817218909128,0.6788631105627178,working,274,0
0.06291817218909128,0.9213193518400236,working,275,0
0.06571817218909128,0.025703798679756584,working,276,0
0.06901817218909127,0.1080029541381049,working,277,0
0.07281817218909127,0.5361153920816634,working,278,0
0.07711817218909127,0.06557307792934586,working,279,0
0.08191817218909127,0.30020039626769324,working,288,0
0.08721817218909127,0.36039590351311357,working,289,0
0.09301817218909127,0.24369357706467432,working,290,0
0.09931817218909127,0.10503201899395842,working,291,0
0.10611817218909127,0.4230415654082239,working,292,0
0.11341817218909127,0.9957803051811779,broken,293,4
0.11341817218909127,0.9957803051811779,broken,295,3
0.11341817218909127,0.9957803051811779,broken,296,2
0.11341817218909127,0.9957803051811779,broken,305,1
0.044274057847557065,0.6404137464772545,working,306,0
0.04557405784755707,0.9544743850294178,broken,307,4
0.04557405784755707,0.9544743850294178,broken,309,3
0.04557405784755707,0.9544743850294178,broken,310,2
0.04557405784755707,0.9544743850294178,broken,311,1
0.01850026292863967,0.8708154607047932,working,320,0
0.01980026292863967,0.0010031020985693528,working,321,0
0.021600262928639674,0.5518011537265461,working,322,0
0.023900262928639678,0.3572333152902625,working,323,0
0.026700262928639678,0.7192510372973535,working,324,0
0.03000026292863968,0.6951660952104856,working,325,0
0.033800262928639684,0.20827940410528123,working,326,0
0.03810026292863969,0.8226425688935893,working,327,0
0.04290026292863969,0.18050126103875852,working,336,0
0.04820026292863969,0.590617836576297,working,337,0
0.054000262928639686,0.977935735989543,broken,338,4
0.054000262928639686,0.977935735989543,broken,340,3
0.054000262928639686,0.977935735989543,broken,341,2
0.054000262928639686,0.977935735989543,broken,342,1
0.022458259300763644,0.8805227455775415,working,343,0
0.023758259300763647,0.9053733591146307,working,352,0
0.02555825930076365,0.5978808775732761,working,353,0
0.027858259300763653,0.4905761841638845,working,354,0
0.030658259300763654,0.34873965645555527,working,355,0
0.033958259300763655,0.5472974642776831,working,356,0
0.03775825930076366,0.8511518885749907,working,357,0
0.042058259300763665,0.9696336240027544,broken,358,4
0.042058259300763665,0.9696336240027544,broken,360,3
0.042058259300763665,0.9696336240027544,broken,369,2
0.042058259300763665,0.9696336240027544,broken,370,1
0.0180956503247602,0.8742439164897071,working,371,0
0.019395650324760202,0.2239583879308099,working,372,0
0.021195650324760205,0.6283744305846225,working,373,0
0.023495650324760205,0.29346994352638567,working,374,0
0.026295650324760205,0.11848564381082505,working,375,0
