Age wear,break chance,Status,Hour,RTime
0.3831529411764706,0.20760325476746988,working,0,0
0.3844529411764706,0.003201427566626558,working,1,0
0.38625294117647063,0.4672697882869131,working,2,0
0.38855294117647066,0.524686176796399,working,3,0
0.3913529411764707,0.3230799729283048,working,4,0
0.3946529411764707,0.013811342090771284,working,5,0
0.39845294117647073,0.6380503458886833,broken,6,4
0.39845294117647073,0.6380503458886833,broken,8,3
0.39845294117647073,0.6380503458886833,broken,17,2
0.39845294117647073,0.6380503458886833,broken,18,1
0.171220666782007,0.21710123060186604,working,19,0
0.172520666782007,0.9509110223269636,broken,20,4
0.172520666782007,0.9509110223269636,broken,22,3
0.172520666782007,0.9509110223269636,broken,23,2
0.172520666782007,0.9509110223269636,broken,24,1
0.07525789012821091,0.609228674535474,working,33,0
0.0765578901282109,0.04580723477477744,working,34,0
0.0783578901282109,0.21642769658093963,working,35,0
0.0806578901282109,0.6812868470175569,working,36,0
0.0834578901282109,0.45553162123053426,working,37,0
0.08675789012821089,0.4593572605308658,working,38,0
0.09055789012821089,0.8198225703343314,working,39,0
0.09485789012821089,0.024091107741717854,working,48,0
0.09965789012821089,0.10637161019984731,working,49,0
0.10495789012821088,0.25158486520809886,working,50,0
0.11075789012821088,0.18709925700371544,working,51,0
0.11705789012821088,0.2476135752013775,working,52,0
0.12385789012821088,0.15484389241163643,working,53,0
0.13115789012821089,0.5491412804940096,working,54,0
0.1389578901282109,0.21391015422142168,working,55,0
0.1472578901282109,0.7115683112172234,working,64,0
0.1560578901282109,0.10920308662639522,working,65,0
0.1653578901282109,0.9076448189248807,broken,66,4
0.1653578901282109,0.9076448189248807,broken,68,3
0.1653578901282109,0.9076448189248807,broken,69,2
0.1653578901282109,0.9076448189248807,broken,70,1
0.0745204381930418,0.7678995429832169,working,71,0
0.0758204381930418,0.9984586323074917,broken,80,4
0.0758204381930418,0.9984586323074917,broken,82,3
0.0758204381930418,0.9984586323074917,broken,83,2
0.0758204381930418,0.9984586323074917,broken,84,1
0.034896897057988506,0.4751875422608175,working,85,0
0.03619689705798851,0.6067694084769052,working,86,0
0.03799689705798851,0.9732183802194898,broken,87,4
0.03799689705798851,0.9732183802194898,broken,97,3
0.03799689705798851,0.9732183802194898,broken,98,2
0.03799689705798851,0.9732183802194898,broken,99,1
0.018059531710693372,0.13021451944478568,working,100,0
0.019359531710693375,0.4989066808010928,working,101,0
0.021159531710693378,0.9686674831462456,working,102,0
0.023459531710693378,0.9149458923573442,working,103,0
0.02625953171069338,0.9026040420317216,working,112,0
0.02955953171069338,0.9234890763542531,working,113,0
0.033359531710693384,0.5646102517064109,working,114,0
0.03765953171069339,0.13639573036668173,working,115,0
0.04245953171069339,0.909345721979884,working,116,0
0.04775953171069339,0.1625539715965183,working,117,0
0.05355953171069339,0.4961353077186281,working,118,0
0.05985953171069339,0.42745307384347364,working,119,0
0.06665953171069339,0.9214300672185276,working,128,0
0.07395953171069339,0.6426424288214124,working,129,0
0.08175953171069339,0.7311679891427423,working,130,0
0.09005953171069339,0.6149307963691373,working,131,0
0.0988595317106934,0.2763450997343643,working,132,0
0.1081595317106934,0.7970376779364549,working,133,0
0.11795953171069339,0.35519485397330197,working,134,0
0.12825953171069338,0.9861903710259866,broken,135,4
0.12825953171069338,0.9861903710259866,broken,145,3
0.12825953171069338,0.9861903710259866,broken,146,2
0.12825953171069338,0.9861903710259866,broken,147,1
0.061051801190682195,0.8178413038674961,working,148,0
0.0623518011906822,0.7462462903944084,working,149,0
0.0641518011906822,0.07735572768752375,working,150,0
0.0664518011906822,0.31564620972949053,working,151,0
0.0692518011906822,0.49283323125695866,working,160,0
