Age wear,break chance,Status,Hour,RTime
0.26080000000000003,0.09409384389005349,working,0,0
0.26210000000000006,0.10442386272417448,working,1,0
0.2639000000000001,0.5199918633972697,working,2,0
0.2662000000000001,0.47117699263097157,working,3,0
0.26900000000000013,0.8709963370595523,broken,4,4
0.26900000000000013,0.8709963370595523,broken,6,3
0.26900000000000013,0.8709963370595523,broken,7,2
0.26900000000000013,0.8709963370595523,broken,8,1
0.07879924000000003,0.7932271736797782,working,17,0
0.08009924000000003,0.5317875480925361,working,18,0
0.08189924000000003,0.45376514122034517,working,19,0
0.08419924000000002,0.10644606615368213,working,20,0
0.08699924000000002,0.21901370241504248,working,21,0
0.09029924000000002,0.23969450417474758,working,22,0
0.09409924000000001,0.9432116319328401,broken,23,4
0.09409924000000001,0.9432116319328401,broken,33,3
0.09409924000000001,0.9432116319328401,broken,34,2
0.09409924000000001,0.9432116319328401,broken,35,1
0.028540455952000013,0.39488029711567774,working,36,0
0.029840455952000015,0.8457326755918011,working,37,0
0.03164045595200002,0.9132944531512186,working,38,0
0.03394045595200002,0.0726460663037819,working,39,0
0.036740455952000026,0.13735576616091882,working,48,0
0.04004045595200003,0.26649251068282376,working,49,0
0.043840455952000035,0.4653728893449245,working,50,0
0.04814045595200003,0.451611509259664,working,51,0
0.05294045595200003,0.8596674794889078,working,52,0
0.05824045595200003,0.4246815051831653,working,53,0
0.06404045595200003,0.32612295122003776,working,54,0
0.07034045595200003,0.3527365349272251,working,55,0
0.07714045595200003,0.12946455431337722,working,64,0
0.08444045595200003,0.6579346592563188,working,65,0
0.09224045595200003,0.42262868843270873,working,66,0
0.10054045595200004,0.849382918024914,working,67,0
0.10934045595200004,0.8589242817430265,working,68,0
0.11864045595200004,0.4088304623026696,working,69,0
0.12844045595200004,0.25375113817851613,working,70,0
0.13874045595200005,0.0035393068340405787,working,71,0
0.14954045595200005,0.8005225111282046,working,80,0
0.16084045595200006,0.26608085019175365,working,81,0
0.17264045595200006,0.17535099738959048,working,82,0
0.18494045595200007,0.6832800342894532,working,83,0
0.19774045595200007,0.35185127092451474,working,84,0
0.21104045595200008,0.6461886903033573,working,85,0
0.22484045595200008,0.24743106459374264,working,86,0
0.2391404559520001,0.00026712185716348813,working,87,0
0.2539404559520001,0.2660518261314475,working,96,0
0.26924045595200014,0.535176746861338,working,97,0
0.28504045595200017,0.01062576613835542,working,98,0
0.3013404559520002,0.16150140307907845,working,99,0
0.31814045595200025,0.7001150738196813,broken,100,4
0.31814045595200025,0.7001150738196813,broken,102,3
0.31814045595200025,0.7001150738196813,broken,103,2
0.31814045595200025,0.7001150738196813,broken,104,1
0.09976713303754824,0.8759320270443475,working,113,0
0.10106713303754823,0.8034913261276236,working,114,0
0.10286713303754823,0.7710865022371733,working,115,0
0.10516713303754822,0.7694314872214343,working,116,0
0.10796713303754822,0.35120233584466964,working,117,0
0.11126713303754822,0.6313842081097777,working,118,0
0.11506713303754822,0.5525638080563698,working,119,0
0.11936713303754821,0.4021784645822164,working,128,0
0.12416713303754821,0.23876848498848058,working,129,0
0.1294671330375482,0.7299909818315251,working,130,0
0.1352671330375482,0.5158850708463891,working,131,0
0.1415671330375482,0.7559889525142007,working,132,0
0.1483671330375482,0.018097610704521983,working,133,0
0.1556671330375482,0.8761860163394902,broken,134,4
0.1556671330375482,0.8761860163394902,broken,136,3
0.1556671330375482,0.8761860163394902,broken,145,2
0.1556671330375482,0.8761860163394902,broken,146,1
0.05045781543897788,0.2673302170419809,working,147,0
0.05175781543897788,0.3239311469198626,working,148,0
0.053557815438977883,0.09415073178600841,working,149,0
0.05585781543897789,0.9580613993082493,broken,150,4
0.05585781543897789,0.9580613993082493,broken,152,3
0.05585781543897789,0.9580613993082493,broken,161,2
0.05585781543897789,0.9580613993082493,broken,162,1
0.01881526263537915,0.03201846234216421,working,163,0
0.020115262635379154,0.31895062065776436,working,164,0
0.021915262635379157,0.7299549086863575,working,165,0
0.02421526263537916,0.16487962631137332,working,166,0
0.02701526263537916,0.11351462986915051,working,167,0
0.03031526263537916,0.2571797689088168,working,176,0
0.034115262635379166,0.9479309397713034,working,177,0
0.03841526263537917,0.4114873695467033,working,178,0
0.04321526263537917,0.3241151553483316,working,179,0
0.04851526263537917,0.5624048856665974,working,180,0
0.05431526263537917,0.12173821535002805,working,181,0
0.06061526263537917,0.11110480552685564,working,182,0
0.06741526263537917,0.5115348832895048,working,183,0
0.07471526263537917,0.07375503667265582,working,192,0
0.08251526263537917,0.9067877598852523,working,193,0
0.09081526263537917,0.2815321901874124,working,194,0
0.09961526263537918,0.8046520528405645,working,195,0
0.10891526263537918,0.9855282040486003,broken,196,4
0.10891526263537918,0.9855282040486003,broken,198,3
0.10891526263537918,0.9855282040486003,broken,199,2
0.10891526263537918,0.9855282040486003,broken,200,1
0.036981650247472964,0.9018858296875442,working,209,0
0.038281650247472966,0.17947723319752829,working,210,0
0.04008165024747297,0.34992376434502104,working,211,0
0.04238165024747297,0.5227293430110492,working,212,0
0.045181650247472976,0.5089876870428109,working,213,0
0.04848165024747298,0.6106526565281931,working,214,0
0.052281650247472986,0.7062107927784113,working,215,0
0.056581650247472984,0.4651375299006886,working,224,0
0.06138165024747298,0.5038396645766927,working,225,0
0.06668165024747298,0.3655951437436289,working,226,0
0.07248165024747298,0.9426955266718694,broken,227,4
0.07248165024747298,0.9426955266718694,broken,229,3
0.07248165024747298,0.9426955266718694,broken,230,2
0.07248165024747298,0.9426955266718694,broken,231,1
0.025356783103843848,0.3926618438507654,working,240,0
0.02665678310384385,0.06619550600026891,working,241,0
0.028456783103843853,0.06561690111903618,working,242,0
0.030756783103843853,0.3048396531053478,working,243,0
0.03355678310384386,0.5070201273382827,working,244,0
0.03685678310384386,0.5115253404982969,working,245,0
0.040656783103843866,0.7064598356640798,working,246,0
0.044956783103843864,0.9485190134617258,working,247,0
0.04975678310384386,0.5819909729105436,working,256,0
0.05505678310384386,0.7658244418425981,working,257,0
0.06085678310384386,0.7144864580688061,working,258,0
0.06715678310384386,0.7965707329232482,working,259,0
0.07395678310384386,0.7108585561574658,working,260,0
0.08125678310384386,0.47453103003726094,working,261,0
0.08905678310384385,0.3396191521999443,working,262,0
0.09735678310384385,0.9855584391671174,broken,263,4
0.09735678310384385,0.9855584391671174,broken,273,3
0.09735678310384385,0.9855584391671174,broken,274,2
0.09735678310384385,0.9855584391671174,broken,275,1
0.03464121780689613,0.3641444437159944,working,276,0
0.03594121780689613,0.4298045110316807,working,277,0
0.037741217806896134,0.20729553954542645,working,278,0
0.04004121780689614,0.9043572909311002,working,279,0
0.04284121780689614,0.6290612624220527,working,288,0
0.046141217806896145,0.7639308237014554,working,289,0
0.04994121780689615,0.36401460253668894,working,290,0
0.054241217806896155,0.0725400781263752,working,291,0
0.059041217806896154,0.2326878527663877,working,292,0
